Page Name,Codename,URL,Beginning Of Interval,Complete,Page Likes,Page Like Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate,Owned Facebook Video Posts (FB Video and Live),Owned Video Views (FB Video and Live),Owned Video Views from Page Posts (FB Video and Live),Owned Video Views (FB Video),Owned Video Views (FB Live),Owned Video Views from Shares (FB Video and Live),Videos Shared by Page (not included in Owned Videos),Video Views on Videos Shared by Page,Other Video Posts,Other Video Interactions,Other Video Interaction Rate,YouTube Posts,YouTube Interactions,YouTube Interaction Rate
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-14 0:00:00,Yes,0,0.00%,10,13885,72.63%,NA,1026,4943,7916,7916,0,0,0,0,0,2,8898,0.00%,8,4987,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-14 0:00:00,Yes,0,0.00%,9,7739,44.79%,NA,504,2144,5091,5091,0,0,0,0,0,5,5355,0.00%,1,219,0.00%,1,1028,0.00%,2,1137,0.00%,0,0,NA,1,0,0,0,0,0,1,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-14 0:00:00,Yes,0,0.00%,16,13237,49.94%,NA,418,4610,8209,8209,0,0,0,0,0,9,11879,0.00%,7,1358,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-15 0:00:00,Yes,0,0.00%,10,15321,10.34%,NA,752,3233,11336,11336,0,0,0,0,0,4,11416,0.00%,6,3905,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-15 0:00:00,Yes,0,0.00%,14,8740,12.93%,NA,516,2392,5832,5832,0,0,0,0,0,10,7440,0.00%,2,331,0.00%,0,0,NA,2,969,0.00%,0,0,NA,2,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-15 0:00:00,Yes,0,0.00%,15,13881,4.87%,NA,651,4620,8610,8610,0,0,0,0,0,10,11793,0.00%,3,1606,0.00%,0,0,NA,1,266,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,1,216,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-16 0:00:00,Yes,0,0.00%,10,15059,-1.71%,NA,1102,3881,10076,10076,0,0,0,0,0,2,10043,0.00%,8,5016,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-16 0:00:00,Yes,0,0.00%,6,4424,-49.38%,NA,280,931,3213,3213,0,0,0,0,0,4,3697,0.00%,2,727,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-16 0:00:00,Yes,0,0.00%,16,16374,17.96%,NA,832,6854,8688,8688,0,0,0,0,0,11,15315,0.00%,4,877,0.00%,0,0,NA,1,182,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-17 0:00:00,Yes,0,0.00%,8,13636,-9.45%,NA,860,5163,7613,7613,0,0,0,0,0,4,10490,0.00%,4,3146,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-17 0:00:00,Yes,0,0.00%,9,13703,209.74%,NA,855,4572,8276,8274,0,0,0,0,2,5,11693,0.00%,3,1048,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,962,0.00%,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-17 0:00:00,Yes,0,0.00%,14,12676,-22.58%,NA,499,5417,6760,6760,0,0,0,0,0,6,10964,0.00%,5,1305,0.00%,0,0,NA,2,185,0.00%,0,0,NA,2,0,0,0,0,0,0,0,0,0,NA,1,222,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-18 0:00:00,Yes,0,0.00%,9,903294,6524.33%,NA,3724,805074,94496,94398,8,5,1,0,84,3,899294,0.00%,6,4000,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-18 0:00:00,Yes,0,0.00%,9,5212,-61.96%,NA,353,863,3996,3996,0,0,0,0,0,4,3271,0.00%,5,1941,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-18 0:00:00,Yes,0,0.00%,10,12992,2.49%,NA,411,5297,7284,7284,0,0,0,0,0,5,10354,0.00%,2,1076,0.00%,0,0,NA,1,480,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,2,1082,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-19 0:00:00,Yes,0,0.00%,7,13855,-98.47%,NA,463,3923,9469,9469,0,0,0,0,0,3,11345,0.00%,4,2510,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-19 0:00:00,Yes,0,0.00%,5,4428,-15.04%,NA,352,926,3150,3150,0,0,0,0,0,1,1590,0.00%,3,978,0.00%,0,0,NA,1,1860,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-19 0:00:00,Yes,0,0.00%,18,14807,13.97%,NA,469,4759,9579,9579,0,0,0,0,0,11,13191,0.00%,3,674,0.00%,0,0,NA,3,738,0.00%,0,0,NA,3,0,0,0,0,0,0,0,1,204,0.00%,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-20 0:00:00,Yes,0,0.00%,9,21675,56.44%,NA,572,15023,6080,6080,0,0,0,0,0,1,17327,0.00%,8,4348,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-20 0:00:00,Yes,0,0.00%,5,1732,-60.89%,NA,102,265,1365,1365,0,0,0,0,0,2,1153,0.00%,3,579,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-20 0:00:00,Yes,0,0.00%,10,6811,-54.00%,NA,355,2434,4022,4022,0,0,0,0,0,5,5406,0.00%,4,1275,0.00%,0,0,NA,1,130,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-21 0:00:00,Yes,0,0.00%,10,10891,-49.75%,NA,1210,2921,6760,6760,0,0,0,0,0,1,3956,0.00%,9,6935,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-21 0:00:00,Yes,0,0.00%,4,1705,-1.56%,NA,167,390,1148,1148,0,0,0,0,0,2,1014,0.00%,2,691,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-21 0:00:00,Yes,0,0.00%,11,4838,-28.97%,NA,196,1819,2823,2822,0,0,0,0,1,7,3482,0.00%,3,733,0.00%,0,0,NA,1,623,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-22 0:00:00,Yes,0,0.00%,11,9157,-15.92%,NA,653,2355,6149,6149,0,0,0,0,0,2,3037,0.00%,9,6120,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-22 0:00:00,Yes,0,0.00%,6,6790,298.24%,NA,723,2298,3769,3769,0,0,0,0,0,1,3616,0.00%,3,542,0.00%,0,0,NA,1,2059,0.00%,0,0,NA,1,0,0,0,0,0,0,0,1,573,0.00%,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-22 0:00:00,Yes,0,0.00%,15,12106,150.23%,NA,627,5030,6449,6448,0,1,0,0,0,7,9079,0.00%,5,1661,0.00%,1,733,0.00%,1,201,0.00%,0,0,NA,1,0,0,0,0,0,0,0,1,432,0.00%,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-23 0:00:00,Yes,0,0.00%,11,21723,137.23%,NA,619,12970,8134,8134,0,0,0,0,0,2,16101,0.00%,9,5622,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-23 0:00:00,Yes,0,0.00%,10,7651,12.68%,NA,1039,1578,5034,5034,0,0,0,0,0,5,5530,0.00%,3,1292,0.00%,1,308,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,521,0.00%,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-23 0:00:00,Yes,0,0.00%,13,13210,9.12%,NA,357,3662,9191,9191,0,0,0,0,0,9,11502,0.00%,2,371,0.00%,2,1337,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-24 0:00:00,Yes,0,0.00%,10,37111,70.84%,NA,830,25016,11265,11264,1,0,0,0,0,2,30663,0.00%,8,6448,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-24 0:00:00,Yes,0,0.00%,12,6442,-15.80%,NA,630,1881,3931,3931,0,0,0,0,0,4,3032,0.00%,4,1288,0.00%,0,0,NA,3,1766,0.00%,0,0,NA,3,0,0,0,0,0,0,0,1,356,0.00%,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-24 0:00:00,Yes,0,0.00%,8,4182,-68.34%,NA,374,1399,2409,2409,0,0,0,0,0,4,2660,0.00%,2,814,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,422,0.00%,1,286,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-25 0:00:00,Yes,0,0.00%,10,11584,-68.79%,NA,679,2991,7914,7914,0,0,0,0,0,5,8190,0.00%,5,3394,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-25 0:00:00,Yes,0,0.00%,7,5933,-7.90%,NA,465,1059,4409,4409,0,0,0,0,0,3,4079,0.00%,4,1854,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-25 0:00:00,Yes,0,0.00%,12,15557,272.00%,NA,459,5693,9405,9405,0,0,0,0,0,10,14564,0.00%,2,993,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-26 0:00:00,Yes,0,0.00%,8,537938,4543.80%,NA,3424,408574,125940,125905,3,1,2,3,26,4,536000,0.00%,4,1938,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-26 0:00:00,Yes,0,0.00%,4,8065,35.93%,NA,376,3445,4244,4240,0,0,0,0,4,2,6397,0.00%,2,1668,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-26 0:00:00,Yes,0,0.00%,14,12711,-18.29%,NA,405,4277,8029,8029,0,0,0,0,0,11,12064,0.00%,2,470,0.00%,1,177,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-27 0:00:00,Yes,0,0.00%,8,12108,-97.75%,NA,376,4260,7472,7471,0,0,0,1,0,3,9842,0.00%,5,2266,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-27 0:00:00,Yes,0,0.00%,3,2223,-72.44%,NA,70,344,1809,1809,0,0,0,0,0,2,1972,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,251,0.00%,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-27 0:00:00,Yes,0,0.00%,17,11236,-11.60%,NA,1661,3041,6534,6530,1,0,0,3,0,10,9324,0.00%,3,504,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,4,1408,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-28 0:00:00,Yes,0,0.00%,8,1255322,10267.71%,NA,12458,978956,263908,263572,1,1,4,43,287,1,1251826,0.00%,7,3496,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-28 0:00:00,Yes,0,0.00%,5,3427,54.16%,NA,618,914,1895,1894,0,0,0,0,1,2,1204,0.00%,2,1117,0.00%,0,0,NA,1,1106,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-28 0:00:00,Yes,0,0.00%,9,8306,-26.08%,NA,283,2498,5525,5520,1,3,0,0,1,8,8074,0.00%,1,232,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-29 0:00:00,Yes,0,0.00%,12,12502,-99.00%,NA,650,3416,8436,8434,0,0,0,0,2,2,7101,0.00%,10,5401,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-29 0:00:00,Yes,0,0.00%,5,1688,-50.74%,NA,169,208,1311,1311,0,0,0,0,0,4,1440,0.00%,1,248,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-29 0:00:00,Yes,0,0.00%,16,18494,122.66%,NA,801,5041,12652,12649,1,1,0,0,1,10,15875,0.00%,2,976,0.00%,0,0,NA,1,730,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,3,913,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-30 0:00:00,Yes,0,0.00%,11,10701,-14.41%,NA,735,2962,7004,7004,0,0,0,0,0,2,4926,0.00%,9,5775,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-30 0:00:00,Yes,0,0.00%,5,1936,14.69%,NA,143,346,1447,1447,0,0,0,0,0,1,363,0.00%,3,1393,0.00%,0,0,NA,1,180,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-30 0:00:00,Yes,0,0.00%,12,6407,-65.36%,NA,306,1560,4541,4537,1,1,0,1,1,6,4761,0.00%,5,1311,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,335,0.00%,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-05-31 0:00:00,Yes,0,0.00%,10,10412,-2.70%,NA,574,2722,7116,7116,0,0,0,0,0,3,5483,0.00%,7,4929,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-05-31 0:00:00,Yes,0,0.00%,12,4347,124.54%,NA,854,915,2578,2578,0,0,0,0,0,6,2713,0.00%,5,1492,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,1,142,0.00%,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-05-31 0:00:00,Yes,0,0.00%,12,11327,76.79%,NA,682,3770,6875,6872,0,0,0,0,3,6,7774,0.00%,3,1678,0.00%,1,241,0.00%,2,1634,0.00%,0,0,NA,2,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-06-01 0:00:00,Yes,0,0.00%,9,52742,406.55%,NA,740,43982,8020,8017,2,1,0,0,0,2,48977,0.00%,7,3765,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-06-01 0:00:00,Yes,0,0.00%,6,5505,26.64%,NA,268,1358,3879,3879,0,0,0,0,0,3,4925,0.00%,3,580,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-06-01 0:00:00,Yes,0,0.00%,5,2608,-76.98%,NA,113,1168,1327,1327,0,0,0,0,0,2,1082,0.00%,2,613,0.00%,0,0,NA,1,913,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-06-02 0:00:00,Yes,0,0.00%,10,26356,-50.03%,NA,1329,12321,12706,12703,2,0,0,0,1,5,22908,0.00%,5,3448,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-06-02 0:00:00,Yes,0,0.00%,7,6626,20.36%,NA,285,941,5400,5400,0,0,0,0,0,3,5181,0.00%,4,1445,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-06-02 0:00:00,Yes,0,0.00%,9,3642,39.65%,NA,144,1157,2341,2341,0,0,0,0,0,2,1697,0.00%,2,390,0.00%,2,410,0.00%,1,379,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,2,766,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-06-03 0:00:00,Yes,0,0.00%,7,22493,-14.66%,NA,773,17027,4693,4692,1,0,0,0,0,1,18535,0.00%,6,3958,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-06-03 0:00:00,Yes,0,0.00%,6,7161,8.07%,NA,573,2301,4287,4287,0,0,0,0,0,3,4952,0.00%,0,0,NA,1,1266,0.00%,2,943,0.00%,0,0,NA,2,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-06-03 0:00:00,Yes,0,0.00%,13,8751,140.28%,NA,487,2271,5993,5990,2,1,0,0,0,8,7250,0.00%,3,759,0.00%,1,615,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,127,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-06-04 0:00:00,Yes,0,0.00%,10,54654,142.98%,NA,633,45801,8220,8220,0,0,0,0,0,2,51475,0.00%,8,3179,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-06-04 0:00:00,Yes,0,0.00%,7,8532,19.15%,NA,364,2367,5801,5800,0,0,0,0,1,4,7195,0.00%,2,966,0.00%,0,0,NA,1,371,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-06-04 0:00:00,Yes,0,0.00%,15,14687,67.83%,NA,532,3963,10192,10192,0,0,0,0,0,5,11970,0.00%,7,2013,0.00%,0,0,NA,1,269,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,2,435,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-06-05 0:00:00,Yes,0,0.00%,9,25474,-53.39%,NA,915,16759,7800,7797,1,0,0,0,2,1,19548,0.00%,8,5926,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-06-05 0:00:00,Yes,0,0.00%,9,5506,-35.47%,NA,194,1589,3723,3722,0,0,0,1,0,6,5072,0.00%,3,434,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-06-05 0:00:00,Yes,0,0.00%,19,11363,-22.63%,NA,615,4350,6398,6398,0,0,0,0,0,8,7973,0.00%,9,3035,0.00%,1,201,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,154,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-06-06 0:00:00,Yes,0,0.00%,10,15416,-39.48%,NA,843,4667,9906,9906,0,0,0,0,0,2,11146,0.00%,8,4270,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-06-06 0:00:00,Yes,0,0.00%,15,7529,36.74%,NA,476,1349,5704,5703,1,0,0,0,0,7,5644,0.00%,4,921,0.00%,1,30,0.00%,2,654,0.00%,0,0,NA,2,0,0,0,0,0,0,0,1,280,0.00%,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-06-06 0:00:00,Yes,0,0.00%,16,11394,0.27%,NA,634,4968,5792,5792,0,0,0,0,0,10,9139,0.00%,4,1328,0.00%,0,0,NA,1,552,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,1,375,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-06-07 0:00:00,Yes,0,0.00%,9,9563,-37.97%,NA,730,2306,6527,6527,0,0,0,0,0,2,3181,0.00%,7,6382,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-06-07 0:00:00,Yes,0,0.00%,8,8499,12.88%,NA,302,1819,6378,6378,0,0,0,0,0,6,8047,0.00%,1,178,0.00%,1,274,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-06-07 0:00:00,Yes,0,0.00%,8,3456,-69.67%,NA,126,1357,1973,1973,0,0,0,0,0,2,2152,0.00%,4,717,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,2,587,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-06-08 0:00:00,Yes,0,0.00%,10,17248,80.36%,NA,825,7037,9386,9385,0,0,0,1,0,4,14080,0.00%,6,3168,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-06-08 0:00:00,Yes,0,0.00%,7,4952,-41.73%,NA,190,715,4047,4047,0,0,0,0,0,5,4565,0.00%,2,387,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-06-08 0:00:00,Yes,0,0.00%,20,15525,349.22%,NA,763,4650,10112,10112,0,0,0,0,0,9,12876,0.00%,6,1145,0.00%,1,262,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,4,1242,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-06-09 0:00:00,Yes,0,0.00%,8,97609,465.91%,NA,1256,83491,12862,12856,2,1,1,0,2,4,96238,0.00%,4,1371,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-06-09 0:00:00,Yes,0,0.00%,4,6998,41.32%,NA,389,816,5793,5793,0,0,0,0,0,3,6295,0.00%,0,0,NA,0,0,NA,1,703,0.00%,0,0,NA,1,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2013-06-09 0:00:00,Yes,0,0.00%,8,6077,-60.86%,NA,186,2685,3206,3206,0,0,0,0,0,4,5371,0.00%,3,573,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,133,0.00%
Right Wing News,OfficialRightWingNews,//www.facebook.com/389658314427637,2013-06-10 0:00:00,Yes,0,0.00%,9,52163,-46.56%,NA,1302,32397,18464,18464,0,0,0,0,0,1,46561,0.00%,8,5602,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Daily Vine,DailyVineNow,//www.facebook.com/440106476051475,2013-06-10 0:00:00,Yes,0,0.00%,6,3252,-53.53%,NA,245,711,2296,2296,0,0,0,0,0,2,1741,0.00%,4,1511,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
