Page Name,Codename,URL,Beginning Of Interval,Complete,Page Likes,Page Like Growth,Post Count,Total Interactions,Interaction Growth,Interaction Rate,Comments,Shares,Total Reactions (including Likes),Likes,Angry,Haha,Wow,Sad,Love,Photo Posts,Photo Interactions,Photo Interaction Rate,Link Posts,Link Interactions,Link Interaction Rate,Status Posts,Status Interactions,Status Interaction Rate,Facebook Video Posts (excluding Live),Facebook Video Interactions (excluding Live),Facebook Video Interaction Rate (excluding Live),Facebook Live Video Posts,Facebook Live Interactions,Facebook Live Interaction Rate,Owned Facebook Video Posts (FB Video and Live),Owned Video Views (FB Video and Live),Owned Video Views from Page Posts (FB Video and Live),Owned Video Views (FB Video),Owned Video Views (FB Live),Owned Video Views from Shares (FB Video and Live),Videos Shared by Page (not included in Owned Videos),Video Views on Videos Shared by Page,Other Video Posts,Other Video Interactions,Other Video Interaction Rate,YouTube Posts,YouTube Interactions,YouTube Interaction Rate
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-03-20 0:00:00,Yes,0,0.00%,2,9,200.00%,NA,1,0,8,8,0,0,0,0,0,0,0,NA,0,0,NA,1,5,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,4,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-03-23 0:00:00,Yes,0,0.00%,1,3,-66.67%,NA,0,0,3,3,0,0,0,0,0,0,0,NA,0,0,NA,1,3,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-03-24 0:00:00,Yes,0,0.00%,1,4,33.33%,NA,2,0,2,2,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,4,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-03-27 0:00:00,Yes,0,0.00%,4,9,125.00%,NA,0,0,9,9,0,0,0,0,0,0,0,NA,2,5,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,2,4,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-03-28 0:00:00,Yes,0,0.00%,1,144,1500.00%,NA,15,62,67,67,0,0,0,0,0,1,144,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-03-30 0:00:00,Yes,0,0.00%,2,8,-94.44%,NA,3,0,5,5,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,2,8,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-03 0:00:00,Yes,0,0.00%,3,16,100.00%,NA,2,2,12,12,0,0,0,0,0,0,0,NA,3,16,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-04 0:00:00,Yes,0,0.00%,2,32,100.00%,NA,6,13,13,13,0,0,0,0,0,0,0,NA,0,0,NA,1,22,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,10,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-05 0:00:00,Yes,0,0.00%,1,11,-65.62%,NA,10,0,1,1,0,0,0,0,0,0,0,NA,1,11,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-06 0:00:00,Yes,0,0.00%,1,6,-45.45%,NA,3,0,3,3,0,0,0,0,0,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,6,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-07 0:00:00,Yes,0,0.00%,5,45,650.00%,NA,17,6,22,22,0,0,0,0,0,0,0,NA,1,10,0.00%,1,23,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,3,12,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-08 0:00:00,Yes,0,0.00%,2,9,-80.00%,NA,7,0,2,2,0,0,0,0,0,0,0,NA,1,2,0.00%,1,7,0.00%,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-09 0:00:00,Yes,0,0.00%,1,2,-77.78%,NA,0,0,2,2,0,0,0,0,0,0,0,NA,1,2,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-10 0:00:00,Yes,0,0.00%,1,21,950.00%,NA,9,3,9,9,0,0,0,0,0,0,0,NA,1,21,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-11 0:00:00,Yes,0,0.00%,1,4,-80.95%,NA,1,0,3,3,0,0,0,0,0,0,0,NA,1,4,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-12 0:00:00,Yes,0,0.00%,2,16,300.00%,NA,5,2,9,9,0,0,0,0,0,0,0,NA,1,12,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,1,4,0.00%
Silence is Consent,retainyourfreedom,//www.facebook.com/183356311699411,2011-04-14 0:00:00,Yes,0,0.00%,1,1,-93.75%,NA,1,0,0,0,0,0,0,0,0,1,1,0.00%,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA
